Date,Open,High,Low,Close,Adj Close,Volume
2020-11-19,15030.180664,15315.511719,14693.525391,15015.780273,15015.780273,31170043042
2020-11-20,15015.774414,15827.933594,14960.790039,15705.179688,15705.179688,31199715895
2020-11-21,15705.180664,15971.316406,15556.138672,15723.027344,15723.027344,33441344562
2020-11-22,15723.027344,15762.444336,14904.205078,15481.650391,15481.650391,34789828991
2020-11-23,15481.663086,15743.476563,15161.260742,15506.958008,15506.958008,36091279090
2020-11-24,15507.711914,16289.386719,15296.525391,16059.728516,16059.728516,43259912041
2020-11-25,16057.161133,16295.062500,15591.440430,15719.415039,15719.415039,36680376885
2020-11-26,15717.501953,15819.380859,13723.832031,14399.097656,14399.097656,51546757189
2020-11-27,14401.859375,14641.574219,13834.203125,14301.101563,14301.101563,32505648625
2020-11-28,14304.889648,14923.357422,14134.904297,14809.243164,14809.243164,27249840705
2020-11-29,14811.098633,15285.899414,14676.928711,15184.596680,15184.596680,26007813836
2020-11-30,15185.297852,16459.787109,15185.297852,16440.384766,16440.384766,39981718474
2020-12-01,16447.033203,16590.441406,15309.742188,15576.629883,15576.629883,41117118481
2020-12-02,15575.589844,16020.179688,15189.176758,15850.040039,15850.040039,30862646683
2020-12-03,15854.030273,16097.243164,15613.412109,16010.777344,16010.777344,26290497372
2020-12-04,16012.068359,16057.574219,15422.846680,15428.222656,15428.222656,27946379894
2020-12-05,15427.083984,15804.975586,15334.585938,15799.846680,15799.846680,22471620120
2020-12-06,15799.804688,15990.453125,15588.400391,15961.175781,15961.175781,20869261996
2020-12-07,15959.532227,16014.427734,15618.173828,15847.105469,15847.105469,22209129478
2020-12-08,15847.021484,15910.952148,15088.910156,15129.400391,15129.400391,26171143439
2020-12-09,15129.185547,15423.576172,14784.541016,15361.175781,15361.175781,28497349693
2020-12-10,15360.666016,15360.666016,14796.406250,15040.947266,15040.947266,21037680213
2020-12-11,15040.072266,15040.599609,14539.374023,14910.423828,14910.423828,23051991177
2020-12-12,14904.163086,15621.022461,14899.803711,15525.333008,15525.333008,17960127101
2020-12-13,15527.900391,16002.461914,15468.095703,15776.826172,15776.826172,20975843592
2020-12-14,15778.565430,15894.603516,15687.139648,15842.547852,15842.547852,18499089133
2020-12-15,15842.775391,16064.141602,15704.236328,15975.224609,15975.224609,22001725458
2020-12-16,15976.658203,17598.408203,15883.248047,17473.498047,17473.498047,36412902508
2020-12-17,17471.654297,19279.242188,17411.839844,18598.726563,18598.726563,58212751049
2020-12-18,18600.060547,18956.980469,18302.796875,18877.660156,18877.660156,32951434485
2020-12-19,18873.503906,19649.890625,18622.453125,19473.654297,19473.654297,31399179663
2020-12-20,19467.072266,19807.859375,18884.527344,19224.947266,19224.947266,30989654704
2020-12-21,19222.621094,19740.685547,18191.222656,18637.574219,18637.574219,37476661159
2020-12-22,18630.183594,19520.376953,18375.623047,19514.736328,19514.736328,36244238106
2020-12-23,19513.871094,19748.226563,18707.335938,19059.505859,19059.505859,41943381846
2020-12-24,19058.570313,19509.431641,18649.066406,19481.566406,19481.566406,33717526503
2020-12-25,19479.611328,20267.224609,19244.271484,20230.060547,20230.060547,34504498272
2020-12-26,20240.087891,21914.162109,20113.509766,21683.658203,21683.658203,39642437311
2020-12-27,21685.574219,23029.945313,21265.796875,21527.597656,21527.597656,54473825898
2020-12-28,21534.583984,22421.384766,21485.546875,22161.601563,22161.601563,40139698737
2020-12-29,22159.148438,22340.064453,21230.687500,22330.292969,22330.292969,36941222300
2020-12-30,22328.376953,23524.705078,22328.376953,23450.607422,23450.607422,41701870950
2020-12-31,23451.113281,23781.845703,22979.406250,23741.736328,23741.736328,38275110383
2021-01-01,23735.423828,24316.916016,23649.960938,24165.556641,24165.556641,33508045052
2021-01-02,24167.451172,27321.906250,23972.966797,26474.892578,26474.892578,55925382232
2021-01-03,26476.656250,28519.630859,26413.128906,26760.720703,26760.720703,64216240795
2021-01-04,26784.332031,27294.240234,23363.980469,26094.005859,26094.005859,66241895056
2021-01-05,26098.189453,28009.367188,24633.167969,27639.482422,27639.482422,54923202611
2021-01-06,27656.708984,29889.705078,27254.718750,29844.859375,29844.859375,61019450973
2021-01-07,29852.566406,32748.246094,29653.542969,32089.447266,32089.447266,69085552572
2021-01-08,32098.187500,34261.718750,30048.318359,33372.281250,33372.281250,72071598504
2021-01-09,33364.945313,33894.769531,31886.201172,32928.058594,32928.058594,50702797264
2021-01-10,32927.789063,33881.550781,29440.859375,31472.685547,31472.685547,65626762863
2021-01-11,31464.554688,31464.554688,25108.531250,29247.208984,29247.208984,101409092303
2021-01-12,29205.849609,30067.740234,26899.251953,27786.228516,27786.228516,61246642389
2021-01-13,27779.806641,30918.484375,26690.492188,30682.929688,30682.929688,57033976442
2021-01-14,30690.121094,32956.898438,30354.292969,32250.857422,32250.857422,52355450869
2021-01-15,32225.658203,32558.050781,28660.187500,30485.841797,30485.841797,56095675650
2021-01-16,30482.765625,31345.980469,29509.464844,29950.035156,29950.035156,47772009926
2021-01-17,29938.041016,30384.218750,28204.253906,29661.734375,29661.734375,43392810402
2021-01-18,29662.529297,30927.671875,28899.033203,30328.933594,30328.933594,40994649866
2021-01-19,30172.990234,30884.236328,30001.335938,30688.941406,30688.941406,47091310592
