Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,23735.423828,24316.916016,23649.960938,24165.556641,24165.556641,33508045052
2021-01-02,24167.451172,27321.906250,23972.966797,26474.892578,26474.892578,55925382232
2021-01-03,26476.656250,28519.630859,26413.128906,26760.720703,26760.720703,64216240795
2021-01-04,26784.332031,27294.240234,23363.980469,26094.005859,26094.005859,66241895056
2021-01-05,26098.189453,28009.367188,24633.167969,27639.482422,27639.482422,54923202611
2021-01-06,27656.708984,29889.705078,27254.718750,29844.859375,29844.859375,61019450973
2021-01-07,29852.566406,32748.246094,29653.542969,32089.447266,32089.447266,69085552572
2021-01-08,32098.187500,34261.718750,30048.318359,33372.281250,33372.281250,72071598504
2021-01-09,33364.945313,33894.769531,31886.201172,32928.058594,32928.058594,50702797264
2021-01-10,32927.789063,33881.550781,29440.859375,31472.685547,31472.685547,65626762863
2021-01-11,31464.554688,31464.554688,25108.531250,29247.208984,29247.208984,101409092303
2021-01-12,29205.849609,30067.740234,26899.251953,27786.228516,27786.228516,61246642389
2021-01-13,27779.806641,30918.484375,26690.492188,30682.929688,30682.929688,57033976442
2021-01-14,31568.669922,32905.132813,30354.292969,32389.230469,32389.230469,54065274880
